id,scenario,speaker_role,utterance
1,delivery_delay,agent,হ্যালো স্যার আমি কীভাবে help করতে পারি?
2,delivery_delay,customer,আপু আমার order টা কই? ৫ দিন হয়ে গেছে কোনো update নাই
3,delivery_delay,agent,সরি স্যার একটু order ID টা দেন আমি check করি
4,delivery_delay,customer,ID হলো BD২০৪৫৬৭ — এখন কই আছে বলেন
5,delivery_delay,agent,জি স্যার দেখতেছি… actually courier এ একটু delay হইছে
6,delivery_delay,customer,আচ্ছা এইটা কি সব সময়ের problem? last time ও same হইছিল
7,delivery_delay,agent,বুঝতে পারছি স্যার খুব frustrating — আজকেই escalate করে দিতেছি
8,delivery_delay,customer,please fast করেন ভাই seriously দরকার ছিল
9,delivery_delay,agent,জি স্যার আজকের মধ্যে একটা update দেওয়ার চেষ্টা করবো
10,delivery_delay,customer,okay ঠিক আছে wait করতেছি কিন্তু আর দেরি করলে cancel করবো
