id,scenario,speaker_role,utterance
1,delivery_delay,agent,হ্যালো স্যার আমি কীভাবে help করতে পারি?
2,delivery_delay,customer,আপু আমার order টা কই? ৫ দিন হয়ে গেছে কোনো update নাই
3,delivery_delay,agent,সরি স্যার একটু order ID টা দেন আমি check করি
4,delivery_delay,customer,ID হলো BD২০৪৫৬৭ — এখন কই আছে বলেন
5,delivery_delay,agent,জি স্যার দেখতেছি… actually courier এ একটু delay হইছে
6,delivery_delay,customer,আচ্ছা এইটা কি সব সময়ের problem? last time ও same হইছিল
7,delivery_delay,agent,বুঝতে পারছি স্যার খুব frustrating — আজকেই escalate করে দিতেছি
8,delivery_delay,customer,please fast করেন ভাই seriously দরকার ছিল
9,delivery_delay,agent,জি স্যার আজকের মধ্যে একটা update দেওয়ার চেষ্টা করবো
10,delivery_delay,customer,okay ঠিক আছে wait করতেছি কিন্তু আর দেরি করলে cancel করবো
11,order_cancel,customer,আমার order টা can cancel করতে চাই actually change of mind হইছে
12,order_cancel,agent,অবশ্যই স্যার order number টা একটু বলেন
13,order_cancel,customer,BD৩৩১২০ — এইটা cancel possible তো?
14,order_cancel,agent,দেখতেছি স্যার… হ্যাঁ এখনো shipped হয় নাই so cancel করা যাবে
,,,
15,order_cancel,customer,okay ভালো — return কতদিনে পাবো?
16,order_cancel,agent,"অ্যাঁ... সরি স্যার, রিফান্ড বুঝাচ্ছেন হয়তো"
17,order_cancel,customer,হ্যাঁ... রিফান্ড কতদিন পরে পাবো?
16,order_cancel,agent,৫ থেকে ৭ working days এর মধ্যে আপনার account এ চলে যাবে
17,order_cancel,customer,account মানে? আমি তো cash on delivery দিছিলাম
18,order_cancel,agent,ওহ আচ্ছা স্যার তাহলে তো payment হয় নাই so কোনো refund দরকার নাই
19,order_cancel,customer,ওহ হ্যাঁ তাই তো — okay তাহলে just cancel করেন
20,order_cancel,agent,done স্যার cancel হয়ে গেছে confirmation SMS যাবে
21,refund_request,customer,আমি refund চাই — item টা totally wrong ছিল
22,refund_request,agent,সরি স্যার এইটা শুনে দুঃখিত — কী problem হইছে একটু বলেন?
23,refund_request,customer,আমি red color order করছিলাম আইছে blue — এইটা কী?
24,refund_request,agent,অবশ্যই স্যার এইটা আমাদের mistake — refund process করে দিচ্ছি
25,refund_request,customer,কতদিন লাগবে actually আমার urgent দরকার ছিল
26,refund_request,agent,৩ থেকে ৫ business days স্যার — bKash এ নেবেন নাকি card এ?
27,refund_request,customer,bKash এ দেন  সেটাই easy
28,refund_request,agent,জি স্যার number টা confirm করেন একটু
29,refund_request,customer,০১৭— এইটাতেই দেন
30,refund_request,agent,noted স্যার process হয়ে গেলে notification যাবে
31,wrong_item,customer,umm আপু আমি একটা phone case order করছিলাম কিন্তু আইছে earphone
32,wrong_item,agent,এইটা clearly আমাদের packing mistake স্যার — sorry for the trouble
33,wrong_item,customer,এখন কী করবো? return করতে হবে?
34,wrong_item,agent,হ্যাঁ স্যার আমরা pickup arrange করবো আপনাকে কিছু করতে হবে না
35,wrong_item,customer,okay কিন্তু correct item টা কবে পাবো?
36,wrong_item,agent,pickup এর পর ২ থেকে ৩ দিনের মধ্যে replacement পাঠিয়ে দেবে। 
37,wrong_item,customer,আচ্ছা ঠিক আছে — umm pickup কবে আসবে?
38,wrong_item,agent,আগামীকাল সকাল ১০টা থেকে ১২টার মধ্যে স্যার available থাকবেন?
39,wrong_item,customer,হ্যাঁ থাকবো — ঠিক আছে wait করবো
40,wrong_item,agent,perfect স্যার আমি এখনই schedule করে দিচ্ছি
41,payment_issue,customer, payment হয়ে গেছে কিন্তু order confirm দেখাচ্ছে না
42,payment_issue,agent,সরি স্যার এইটা মাঝে মাঝে হয় — transaction ID টা আছে?
43,payment_issue,customer,হ্যাঁ আছে TXN৮৮৭৭৬৬ — এইটা দিয়ে কী করবেন?
44,payment_issue,agent,এইটা দিয়ে আমরা verify করতে পারবো payment টা received হইছে কিনা
45,payment_issue,customer,okay আর কতক্ষণ লাগবে actually আমি ঘণ্টাখানেক ধরে wait করতেছি
46,payment_issue,agent,বুঝতে পারছি স্যার — ৩০ মিনিটের মধ্যে manually confirm করে দিবো
47,payment_issue,customer,ঠিক আছে কিন্তু যদি না হয় তাহলে refund চাই
48,payment_issue,agent,অবশ্যই স্যার সেটাও possible — কোনো tension নেই
49,payment_issue,customer,আচ্ছা notification আসলে আমি দেখবো
50,payment_issue,agent,জি স্যার SMS আর email দুইটাতেই যাবে
51,product_inquiry,customer, এই product টার কি warranty আছে?
52,product_inquiry,agent,হ্যাঁ স্যার ১ বছরের official warranty আছে
53,product_inquiry,customer,warranty claim করতে হলে কী করতে হবে actually জানি না process টা
54,product_inquiry,agent,সমস্যা নাই স্যার — আমাদের app এ গিয়ে warranty section এ claim দিতে পারবেন
55,product_inquiry,customer,app এ? আমার তো app নাই — website এ হবে না?
56,product_inquiry,agent,হ্যাঁ website এও হবে স্যার — account এ login করে My Orders এ যান
57,product_inquiry,customer,হ্যাঁ ওহ okay বুঝছি — আর delivery charge কত এই item এর জন্য?
58,product_inquiry,agent,আপনার area যদি Dhaka হয় তাহলে ৬০ টাকা outside হলে ১২০
59,product_inquiry,customer,আমি Mirpur এ আছি — so ৬০ টাকাই তো?
60,product_inquiry,agent,জি স্যার exactly — Dhaka city এর মধ্যে flat 60 টাকা
